"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","phylum_no","class","class_no","order","order_no","family","family_no","genus","genus_no","subgenus_no","abund_value","abund_unit","collection_name","collection_subset","collection_aka","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","formation","stratgroup","member","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment","primary_reference","created","modified","updated","time_bins","time_contain","time_major","time_buffer","time_overlap"
"73524","occ","","","5354","Cypraea sp.","genus","9724","","Cypraea","genus","9724","Bartonian","","41.03","37.71","318","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraea","9724","","","","GE-1 (Santee Limestone, South Carolina)","","","-79.691666","33.325001","US","South Carolina","Georgetown","based on political unit","seconds","outcrop","Martin-Marietta Georgetown Quarry; 4.8 km NNW of Jamestown; just W of S.C. 41; coordinates based on quarry location relative to Jamestown (Berkeley County) and Lambert (Georgetown County).","gplates","109","mid","-61.90","35.53","Santee Limestone","","","Santee Limestone","","","group of beds","Cubitostrea sellaeformis/Pteropis lapidosa","","","","","","","","","This collection is from the upper part of the Santee LS.","the santee limestone is composed primarily of bryozoan biosparrudites and biomicrudites which grade laterally westward into foraminiferal biomicrites and diatomites.","grainstone","lithified","","wackestone","","","marine indet.","R. J. Powell and G. R. Baum. 1982. Eocene biostratigraphy of South Carolina and its relationship to Gulf Coastal Plain zonations and global changes of coastal onlap. Geological Society of America Bulletin 93:1099-1108","1999-09-27 09:14:32","1999-09-27 12:26:25","","Bartonian","Bartonian","Bartonian","Bartonian","Bartonian"
"73699","occ","","","5362","Cypraea sp.","genus","9724","","Cypraea","genus","9724","Priabonian","","37.71","33.9","318","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraea","9724","","","","DO-1, Giant Portland Quarry","","","-80.448059","33.250000","US","South Carolina","Dorchester","based on political unit","minutes","outcrop","Giant Portland Quarry (see Banks, 1977); coordinates based on the location of this quarry relative to Harleyville, SC.","gplates","109","mid","-64.71","35.68","Tupelo Bay","","Pregnall","Tupelo Bay","","Pregnall","group of beds","","","","","","","","","","According to Powell and Baum, the collection also falls under the Periarchus lyelli faunal zone. They used Cross at formation rank, but that usage is not followed in later publications. According to Edwards et al. (1997), the Cross Member of the Santee Limestone is dated as both late middle Eocene and late Eocene, representing calcareous nannofossil Zones NP 17 and NP 18. Geisler et al. (2005) re-assessed the stratigraphy and named the Tupelo Bay Formation to include the type Cross Member/Formation and coarser-grained units at the Giant Cement Quarry, which belong to the earliest Priabonian (NP18) Pregnall Member.","the upper eocene cross formation is composed of molluscan biomicrudites which grade updip into molluscan biosparrudites.","packstone","lithified","","","","","open shallow subtidal","R. J. Powell and G. R. Baum. 1982. Eocene biostratigraphy of South Carolina and its relationship to Gulf Coastal Plain zonations and global changes of coastal onlap. Geological Society of America Bulletin 93:1099-1108","1999-09-27 10:36:14","1999-09-27 12:36:14","","Priabonian","Priabonian","Priabonian","Priabonian","Priabonian"
"73730","occ","","","5363","Cypraea sp.","genus","9724","","Cypraea","genus","9724","Priabonian","","37.71","33.9","318","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraea","9724","","","","OR-1, Santee Portland Quarry","","","-80.487503","33.474998","US","South Carolina","","based on political unit","seconds","outcrop","Santee Portland Quarry (see Banks, 1977); coordinates based on the general location of Santee, SC, assumed to be in the relative vicinity of Santee Portland Quarry.","gplates","109","mid","-64.69","35.91","Tupelo Bay","","Pregnall","Tupelo Bay","","Pregnall","group of beds","","","","","","","","","","Powell & Baum used Cross at formation rank, but that usage is not followed in later publications. According to Edwards et al. (1997), the Cross Member of the Santee Limestone is dated as both late middle Eocene and late Eocene, representing calcareous nannofossil Zones NP 17 and NP 18. Geisler et al. (2005) re-assessed the stratigraphy and named the Tupelo Bay Formation to include the type Cross Member/Formation and coarser-grained units, which belong to the earliest Priabonian (NP18) Pregnall Member. It is not clear which unit is exposed at the Santee Quarry, but the invertebrate fauna is extremely similar to the Pregnall Member at the Giant Portland Quarry.","the upper eocene cross formation is composed of molluscan biomicrudites which grade updip into molluscan biosparrudites.\r\n","packstone","lithified","","","","","open shallow subtidal","R. J. Powell and G. R. Baum. 1982. Eocene biostratigraphy of South Carolina and its relationship to Gulf Coastal Plain zonations and global changes of coastal onlap. Geological Society of America Bulletin 93:1099-1108","1999-09-27 11:09:54","1999-09-27 13:09:54","","Priabonian","Priabonian","Priabonian","Priabonian","Priabonian"
"73794","occ","","","5366","Cypraea sp.","genus","9724","","Cypraea","genus","9724","Bartonian","","41.03","37.71","318","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraea","9724","","","","P-4, Maple Hill","","","-77.650002","34.639999","US","North Carolina","Pender","estimated from map","2","outcrop","Map point is southeast of Maple Hill.","gplates","109","mid","-59.51","36.46","Castle Hayne","","Comfort","Castle Hayne","","Comfort","group of beds","Periarchus lyelli","","","","","","","","","This collection is from the upper part of the formation. According to Powell and Baum, this collection could also fall under the Crassatella alta/Chlamys cawcawensis faunal zone, although the beginning of the C. alta zone is questionable due to unconformity. ","a bryozoan biosparrudite facies that interfingers with and is gradational with the overlying biomicrudite facies. (from baum et al. 1978)","wackestone","lithified","","grainstone","","","deep subtidal ramp","R. J. Powell and G. R. Baum. 1982. Eocene biostratigraphy of South Carolina and its relationship to Gulf Coastal Plain zonations and global changes of coastal onlap. Geological Society of America Bulletin 93:1099-1108","1999-09-27 12:04:08","1999-09-27 14:04:08","","Bartonian","Bartonian","Bartonian","Bartonian","Bartonian"
"73857","occ","","","5367","Cypraea sp.","genus","9724","","Cypraea","genus","9724","Bartonian","","41.03","37.71","318","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraea","9724","","","","NH1-D, Martin-Marietta Quarry","","","-77.864998","34.369999","US","North Carolina","New Hanover","based on political unit","2","outcrop","3.4 km NE of the town of Castle Hayne, the section exposed in the Martin-Marietta Quarry on Co. Rd. 1002; coordinates based on location relative to Castle Hayne, NC.","gplates","109","mid","-59.79","36.23","Castle Hayne","","","Castle Hayne","","","group of beds","Periarchus lyelli","","","","","","","","","According to Powell and Baum, this collection may also fall under the Crassatella alta/Chlamys cawcawensis faunal zone, due to uncertainty of where the C. alta zone begins due to unconformity.","a bryozoan biosparrudite (baum et al. 1978)","grainstone","lithified","","","","","deep subtidal ramp","R. J. Powell and G. R. Baum. 1982. Eocene biostratigraphy of South Carolina and its relationship to Gulf Coastal Plain zonations and global changes of coastal onlap. Geological Society of America Bulletin 93:1099-1108","1999-09-27 12:18:57","1999-09-27 14:18:57","","Bartonian","Bartonian","Bartonian","Bartonian","Bartonian"
"74537","occ","","","5496","Bernaya (Protocypraea) n. sp. grovesi","species","342624","recombined as","Bernaya grovesi","species","342624","Ypresian","","56","48.07","322","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Bernaya","9543","","","","CSUN Loc. 1220b, Mesa la Salina","","LACMIP loc. 16951; LACMIP loc. 41220b","-113.000000","26.750000","MX","Baja California Sur","","","minutes","outcrop","Along a prominent ridge, north side of a minor canyon, on the W side of Mesa La Salina, 84-130 m above the bottom of the exposures of the Bateque Fm. in this area, at 1.25 km SE of the intersection of the above coordinates","gplates","105","mid","-88.47","32.40","Bateque","","","Bateque","","","group of beds","","","","","","","","","","this collection is from section 2 of the author's four section division of the formation","90 m thick shallow-marine deposits that...consist of bioturbated and parallel-laminated, yellow, very fine-grained sandstone (75%) with many interbedded lenses (25%)filled with abundant macrofossils; lenses described as poorly sorted coquinas","sandstone","poorly lithified","","""limestone""","lithified","","transition zone/lower shoreface","R. L. Squires and R. A. Demetrion. 1992. Paleontology of the Eocene Bateque Formation, Baja California Sur, Mexico. Contributions in Science (Natural History Museum of Los Angeles County) 434:1-55","1999-10-06 11:52:23","2023-11-19 19:16:49","","Ypresian","Ypresian","Ypresian","Ypresian","Ypresian"
"74933","occ","41332","","5542","Subepona leahae","species","479093","","Subepona leahae","species","479093","Lutetian","","48.07","41.03","86508","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Subepona","336823","","1","specimens","CSUN Loc. 984, Lockwood Valley","","LACMIP Loc. 16178","-119.150002","34.766666","US","California","Ventura","","minutes","outcrop","At elevation of 6025 ft. on N side of ridge, 3200 ft. S and 1150 ft. E of NW corner of section 19, T 8 N, R 21 W","gplates","105","mid","-97.35","40.10","Juncal","","","Juncal","","","group of beds","","","","","","","","","","","the juncal formation in northern lockwood valley is 605 m thick and consists primarily of muddy siltstone with minor amounts of sandstone and scattered lenses with fossils. lenses are fine to coarse sandstone representing storm lag deposits.","siltstone","poorly lithified","argillaceous","sandstone","poorly lithified","","transition zone/lower shoreface","L. T. Groves and R. L. Squires. 2023. Revision of northeast Pacific Paleogene cypraeoidean gastropods (Mollusca), including recognition of three new species: Implications for paleobiogeographic distribution and faunal turnover. PaleoBios 40(10):1-52","2023-11-19 19:13:41","2023-11-19 19:14:31","","Lutetian","Lutetian","Lutetian","Lutetian","Lutetian"
"85548","occ","32437","","6146","Bernaya (Bernaya) burlingtonensis","species","335091","","Bernaya (Bernaya) burlingtonensis","species","335090","Late Campanian","","83.6","72.2","57733","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Bernaya (Bernaya)","9543","335089","rare","category","USGS 17702","","south side of Chesapeake and Delaware canal, 100yd west of Penn Central Railroad's bridge","-75.702782","39.545834","US","Delaware","","based on nearby landmark","seconds","small collection","south side of Chesapeake and Delaware canal, 100yd west of Penn Central Railroad's Chesapeake and Delaware canal bridge, Del.","gplates","109","mid","-36.50","40.29","Marshalltown","","","Marshalltown","","","","","","","","","","","","","","","","","","","","","marine indet.","L. T. Groves. 1990. New Species of Late Cretaceous Cypraeacea (Mollusca: Gastropoda) from California and Mississippi, and a Review of Cretaceous Cypraeaceans of North America. The Veliger 33(3):272-285","2016-06-20 08:17:26","2016-06-20 08:17:26","","Campanian","Campanian","Campanian","Campanian","Campanian"
"95207","occ","","","6002","Cypraeorbis sphaeroides","species","342313","","Cypraeorbis sphaeroides","species","342312","Rupelian","","33.9","27.3","447","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraeorbis","9730","","","","MGS Loc. 93","","","-89.380554","32.010834","US","Mississippi","Smith","based on nearby landmark","seconds","outcrop","Byram Formation: Stream bed off of West Tallahala Creek east of bridge; SE/4, NW/4, NW/4, SW/4, Section 33, T. 2 N., R. 9 E., Smith County, Mississippi.   ","gplates","101","mid","-76.28","35.74","Byram","","","Byram","","","formation","","","","","","","","","","The Byram Formation consists of fossiliferous,calyey sands.Here fossils are well preserved except at the Marquette Cement Mfg. Company quarry.  Here, the Byram Formation consists largely of calcium carbonate and fossils are poorly preserved.","","claystone","poorly lithified","sandy,calcareous","sandstone","","","offshore","F. S. MacNeil and D. T. Dockery. 1984. Lower Oligocene Gastropoda, Scaphopoda, and Cephalopoda of the Vicksburg Group in Mississippi. Mississippi Department of Natural Resources, Bureau of Geology Bulletin 124:1-415","2000-05-04 08:42:51","2014-08-21 11:34:55","","Rupelian","Rupelian","Rupelian","Rupelian","Rupelian"
"95266","occ","","","6005","Cypraeorbis sphaeroides","species","342313","","Cypraeorbis sphaeroides","species","342312","Rupelian","","33.9","27.3","447","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraeorbis","9730","","","","MGS #106a","","","-90.245277","32.179169","US","Mississippi","Hinds","based on nearby landmark","seconds","outcrop","Byram Formation, east bank of the Big Black River at the sharp bend; NE/4, Section 29, T. 6 N.,  R. 4 W., Hinds County, Mississippi   ","gplates","101","mid","-77.14","36.01","Byram","","","Byram","","","formation","","","","","","","","","","The Byram Formation is fossiliferous and has some clayey sands.  Macrofauna is dominated by Bivalves.","","claystone","poorly lithified","sandy,calcareous","sandstone","","","offshore","F. S. MacNeil and D. T. Dockery. 1984. Lower Oligocene Gastropoda, Scaphopoda, and Cephalopoda of the Vicksburg Group in Mississippi. Mississippi Department of Natural Resources, Bureau of Geology Bulletin 124:1-415","2000-05-08 09:00:49","2009-10-01 12:54:48","","Rupelian","Rupelian","Rupelian","Rupelian","Rupelian"
"97744","occ","32026","","7456","Bernaya (Protocypraea) n. sp. mississippiensis","species","335108","","Bernaya (Protocypraea) mississippiensis","species","335108","Early Campanian","Middle Campanian","83.6","72.2","57733","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Bernaya (Protocypraea)","9543","335098","","","MGS 129","","","-88.703331","34.257500","US","Mississippi","Lee","based on political unit","seconds","outcrop","","gplates","101","mid","-51.61","39.26","Coffee Sand","Selma","","Coffee Sand","Selma","","group of beds","Globotruncanita elevata","","","","","","","","","Coffee Sand ranges from the Globotruncanita elevata to Globotruncana ventricosa zone according to Mancini et al. (1996).","","sandstone","","","","","","marine indet.","L. T. Groves. 1990. New Species of Late Cretaceous Cypraeacea (Mollusca: Gastropoda) from California and Mississippi, and a Review of Cretaceous Cypraeaceans of North America. The Veliger 33(3):272-285","2016-01-23 13:14:39","2016-01-23 13:14:39","","Campanian","Campanian","Campanian","Campanian","Campanian"
"98090","occ","","","7472","Cypraea gracilis","species","60033","recombined as","Palaeocypraea (Palaeocypraea) corsicanana","species","60033","Late Campanian","","83.6","72.2","444","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Palaeocypraea (Palaeocypraea)","10233","335048","","","USGS 00518","","Bank of Postoak Creek at north edge of Corsicana, Navarro Co.  (See 17012)","-96.468613","32.095280","US","Texas","Navarro","based on political unit","seconds","outcrop","","gplates","101","mid","-60.47","39.47","Nacatoch Sand","","","Nacatoch Sand","","","group of beds","Nostoceras hyatti","","","","","","","","","Stephenson (1941) had this unit as Maastrichtian, Cobban and Kennedy (1995) have updated it to uppermost Campanian via ammonite zonation.","no entry","not reported","","","","","","marine indet.","L. W. Stephenson. 1941. The larger invertebrate fossils of the Navarro group of Texas. The University of Texas Publication 4101:1-625","2000-07-19 10:00:00","2000-07-19 12:00:00","","Campanian","Campanian","Campanian","Campanian","Campanian"
"98329","occ","","","7480","Cypraea nuciformis","species","60042","recombined as","Palaeocypraea nuciformis","species","60042","Maastrichtian","","72.2","66","444","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Palaeocypraea","10233","","","","USGS 00761","","Near Kaufman on westward-facing slope of Kings Creek valley, .5 mile from courthouse where wagon road goes down to Kings Creek and along east side of creek for 3 miles south of Kaufman, Kaufman County. (See 7545 below)","-96.308609","32.588890","US","Texas","Kaufman","based on political unit","seconds","outcrop","","gplates","101","mid","-62.52","41.51","Nacatoch Sand","","","Nacatoch Sand","","","group of beds","","","","","","","","","","","no entry","not reported","","","","","","marine indet.","L. W. Stephenson. 1941. The larger invertebrate fossils of the Navarro group of Texas. The University of Texas Publication 4101:1-625","2000-07-19 10:00:00","2024-03-09 22:35:26","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian"
"98896","occ","","","7503","Cypraea ? gracilis","species","60033","recombined as","Palaeocypraea (Palaeocypraea) corsicanana","species","60033","Late Campanian","","83.6","72.2","444","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Palaeocypraea (Palaeocypraea)","10233","335048","","","USGS 07572","","Calcareous, argillaceous sandstone in public road, 0.6 to 0.8 mile north-east of Chatfield, Navarro County; from upper part of formation., 14117: ""Concretions in ditches and in field near road, 0.6 and 0.8 mile northeast of Chatfield, Navarro County. (See 7572)""","-96.468613","32.095280","US","Texas","Navarro","based on political unit","seconds","outcrop","","gplates","101","mid","-60.47","39.47","Nacatoch Sand","","","Nacatoch Sand","","","group of beds","Nostoceras hyatti","","","","","","","","","Stephenson (1941) had this unit as Maastrichtian, Cobban and Kennedy (1995) have updated it to uppermost Campanian via ammonite zonation.","Calcareous, argillaceous sandstone in public road","sandstone","","argillaceous,calcareous","","","","marine indet.","L. W. Stephenson. 1941. The larger invertebrate fossils of the Navarro group of Texas. The University of Texas Publication 4101:1-625","2000-07-19 10:00:00","2009-09-30 15:19:12","","Campanian","Campanian","Campanian","Campanian","Campanian"
"101315","occ","","","7788","Cypraeorbis n. sp. bulbus","species","335387","","Cypraeorbis bulbus","species","335387","Ypresian","","56","48.07","495","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraeorbis","9730","","r","category","Joe Taylor Branch, Reklaw FM, TX","","","-95.378059","30.875557","US","Texas","Milam","based on nearby landmark","seconds","outcrop","Located along the Joe Taylor Branch of the Two-Mile Creek off the Brazos River.","gplates","101","mid","-72.28","36.23","Reklaw","","Marquez Shale","Reklaw","","Marquez Shale","member","","","","","","","","","","","regions of clayey silt alternate with finely laminated sands, glauconite and greensand layers, often with boundaries obscured by contorted bedding. interspersed with the silts are thin shell-rich layers containing corals, bryozoans, molluscs and fish.","siltstone","unlithified","argillaceous","sandstone","","","marine indet.","C. L. Garvie. 1996. The Molluscan Macrofauna of the Reklaw Formation, Marquez Member (Eocene: Lower Claibornian), in Texas. Bulletins of American Paleontology 111(352):1-177","2000-06-05 07:28:09","2009-10-02 20:38:52","","Ypresian","Ypresian","Ypresian","Ypresian","Ypresian"
